Carimbo de data/hora	A empresa que você trabalha está ou esteve envolvida em um projeto para desenvolver uma solução de DATA LAKE?	Você atua na empresa como:	As partes envolvidas no projeto possuem certificação para atuar com o provedor escolhido?	Qual provedor de cloud escolhido?	Marque quais metodologias ágeis foram utilizadas no projeto de desenvolvimento da solução de Data Lake na nuvem em sua empresa	Qual dos seguintes tópicos representaram o maior desafio do projeto em relação a migração dos dados?	Houve alteração de escopo no projeto?	Se você respondeu SIM para a questão anterior, por gentileza, indique abaixo quais alterações ocorreram no escopo do projeto.	Qual é o tamanho aproximado do projeto em armazenamento? (Ex resposta: 130GB)	Quais foram os tipos de dados solicitados para ingestão?	Qual tamanho da equipe?	Em uma escala de avaliação, qual nota você atribui para a entrega do projeto?	Indique abaixo quais foram as principais falhas que ocorreram no desenvolvimento da solução de Data Lake na nuvem em sua empresa	Comentários	Qual o porte?	Informe qual intervalo a seguir melhor representa o investimento total em recursos utilizados no projeto de Data Lake que você estava envolvido?	Qual item a seguir melhor descreve sua posição no projeto:	A empresa atua com qual segmentação de clientes?	Você possui experiência prévia com esse tipo de solução?	Quanto tempo custou o desenvolvimento da  primeira entrega?	Houve ingestão de streaming de dados?	Projetos de big data possuem 3 desafios principais: Volume, Velocidade, Variedade. Para demonstrar que você está respondendo esse questionário com atenção, por favor, selecione apenas a opção “Velocidade” dentre as opções abaixo: 				Qual
10/03/2022 21:59:06	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Scrum, Kanban	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento		Bases SQL, API	Até 5 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Abaixo de R$ 10.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	Até 3 meses	Não	Velocidade				
11/03/2022 07:57:46	Sim	Consultor Terceirizado	Sim	Amazon Web Services	Scrum	Velocidade	Não	Não ocorreu alteração no escopo do projeto		API	11 a 20 pessoas	4	Falha no planejamento em relação às etapas de desenvolvimento do projeto, Falha no planejamento de custo relacionado à infraestrutura e manutenção		Empresa de Pequeno Porte (até 100 funcionários)	Não sei responder essa informação	Gestão	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
11/03/2022 10:16:58	Sim	Colaborador Interno	Sim	Microsoft Azure	Scaled Agile Framework (SAFe)	Variedade	Sim	Redefinição dos bancos de dados que migraram para a nuvem, Alteração das soluções contratadas (up-grade ou redução de soluções), Alteração no custo inicial do escopo do projeto		Bases SQL, Bases NoSQL	11 a 20 pessoas	3	Falha no planejamento de custo relacionado à infraestrutura e manutenção, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake, Falha na gestão/liderança da equipe para executar o projeto, Falha na implantação da governança dos dados		Empresa de Médio Porte (até 500 funcionários)	Entre R$ 20.000,01 e R$ 30.000,00	Desenvolvimento	Ambos	Sim	6 a 12 meses	Sim	Velocidade				
11/03/2022 11:18:12	Sim	Consultor Terceirizado	Não	Amazon Web Services	Scrum	Volume	Sim	Alteração de infraestrutura tecnológica para atender o projeto, Alteração da equipe de desenvolvimento		Bases SQL, API	5 a 10 pessoas	5	Não ocorreram falhas no desenvolvimento do data lake		Microempresa (até 20 funcionários)	Entre R$ 10.000,01 e R$ 20.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Sim	3 a 6 meses	Não	Velocidade				
11/03/2022 13:01:01	Sim	Colaborador Interno	Sim	Microsoft Azure	Nenhuma metodologia ágil foi utilizada	Velocidade	Não	Não ocorreu alteração no escopo do projeto		Bases SQL, API	Até 5 pessoas	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Pequeno Porte (até 100 funcionários)	Entre R$ 50.000,01 e R$ 100.000,00	Gestão	B2B (Empresas negociam com outras empresas)	Sim	6 a 12 meses	Não	Velocidade				
11/03/2022 13:26:47	Sim	Colaborador Interno	Não	Google Cloud Plataform	Kanban	Variedade	Sim	Novas fontes de dados e novos paineis		Bases SQL, API	Até 5 pessoas	4	Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Grande Porte (500 funcionários ou mais)	Entre R$ 20.000,01 e R$ 30.000,00	Desenvolvimento	B2B (Empresas negociam com outras empresas)	Não	3 a 6 meses	Não	Velocidade				
11/03/2022 13:35:01	Não																									
11/03/2022 13:47:19	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR, Value Streams	Variedade	Não	Redefinição dos bancos de dados que migraram para a nuvem, Alteração da equipe de desenvolvimento		Bases SQL, Bases NoSQL, API, Outros	35 pessoas ou mais	5	Falha no planejamento da arquitetura que não prepara realmente o terreno para análise de dados, Falha pela ausência de banco de dados (informações) importantes que não foram migradas para o data lake		Empresa de Grande Porte (500 funcionários ou mais)	Acima de R$ 100.000,01	Desenvolvimento	Ambos	Sim	3 a 6 meses	Sim	Velocidade				
11/03/2022 13:51:26	Sim	Colaborador Interno	Sim	Google Cloud Plataform	Scrum, Kanban, OKR	Volume	Não	Não ocorreu alteração no escopo do projeto		Bases SQL	Até 5 pessoas	4	Não ocorreram falhas no desenvolvimento do data lake		Empresa de Grande Porte (500 funcionários ou mais)	Não sei responder essa informação	Gestão	Ambos	Não	3 a 6 meses	Não	Velocidade				
11/03/2022 13:52:31	Não																									
